1///
2/आ जाओ गुरुदेव मेरे मन बस जाओ ।
मंगल उपदेश है अति प्यारा, तुम सेवा से पाओगे पारा ।
दीन-हीन को गले लगाया, हमको भी गले लगाइयो ।। २ 
तेरे लिये दुनियाँ ठुकराया, दर-दर भटका शरण में आया ।
चरणों का दे हमें सहारा, धाम की राह बताइयो ।।३
अपने भक्त को भूल न जाना, मन मंदिर से दूर न जाना ।
सभी भक्तों को साथ में लेकर, श्री राजके दर्श कराइयो ।। ४
/गुरुजी मेरे मन मन्दिर में 
Guruji mere man mandir men /guru
8/गुरुदेव तुम्हारें चरणों में, मै तुम्हें रिझाने आया हूँ ।  
वाणी में तनिक मिठास नहीं, पर विनय सुनाने आया हूँ ।। 
धनी का चरणामृत लेने को, है पास मेरे कोई पात्र नहीं । 
आँखों के दोनों प्यालों से, कुछ भीख माँँगने आया हूँ ।। १ 
तुमसे ले क्या भेट धरुं, गुरुदेव आपके चरणों में । 
मैं भिक्षुक हूँ तुम दाता हो, सम्बन्ध बताने आया हूँ  ।। २
सेवा की कुछ वस्तु नहीं, फिर भी मेरा साहस देखो । 
रो रो कर आज आँसुओं का, मैं हार चढाने आया हूँ ।। ३/गुरुदेव तुम्हारें चरणों 
Gururdev tumharen charanon /guru
8/गुरुदेव तेरे चरणों से, हम को न जुदा करना । 
जब याद तेरी आये, मिलने की दया करना ।। 
ना मैं तपसी ना ज्ञानी, ना मैं योगी ना ध्यानी ।
तूँ माता-पिता मेरा, मैं हूँ बालक अज्ञानी ।
गुरुदेव मेरे दोषों को, मत ख्याल किया करना ।।१
मझदार पड़ी नैया, नहीं खेवनहारा कोई ।
है एक सहारा तेरा, मेरा नहीं सहारा कोई ।
तूँ बनके सुखानी मोहे, पार किया करना ।।२
कित द्वार तेरा तज के, और कहाँ मैं जाऊँ ।
फरियाद किसे अपनी, रो रो कर मैं सुनाऊँ ।
आवाज मेरी सुन के, पहचान लिया करना ।। ३
/गुरुदेव तेरे चरणों से 
Gurudev tere charanon se /guru
10/गुरुदेव दया करके, मुझको अपना लेना । 
मैं शरण पड़ा तेरी, चरणों में जगह देना ।। 
करुणानिधि नाम तेरा, करुणा दिखलाओ तुम ।
सोये हुये भाग्यों को, हे नाथ जगाओ तुम ।
मेरी नाव भंवर डोले, उसे पार लगा देना ।। १ 
तुम सुख के सागर हो, निर्धन के साहारे हो ।
इस तन में समाये हो, मुझे प्राणों से प्यारे हो । 
नित माला जपूँ तेरी, नहीं दिल से भूला देना ।। २
पापी हूँ या कपटी हूँ, जैसा भी हूँ तेरा हूँ ।
घर बार छोड़कर के, जीवन से खेला हूँ ।
मैं दुःख का मारा हूँ, मेरा दुखड़ा मिटा देना ।।३
मैं सबका सेवक हूँ, तेरे चरणों में आया हूँ ।
नहीं नाथ भूलाना मुझे, इस जग में अकेला हूँ ।
तेरे दर का भिखारी हूँ, मेरे दोष मिटा देना ।।४
/गुरुदेव दया करके 
Guru dev daya karke /guru
11/गुरुदेव मेरे तुमको भक्तों ने पुकारा है । 
आओ अब आ जाओ, एक तेरा सहारा है ।।
है चारों तरफ छाया, मेरे घोर अंधेरा है ।
अब जायें कहाँ बोलो, तूफानों ने घेरा है ।
हे नाथ अनाथों के, तेरा ही सहारा है ।। १
मझधार पड़ी नैया, डगमग डोला खाये ।
मिल जाओ हमें आकर, हम भव से तर जायें ।
बिन तेरे नहीं जग में, एक पल भी गुजारा है ।।२
तेरे इन चरणों की, धूली ही जो मिल जाये ।
भटके हुए राही को, निज मंजिल मिल जाये ।
किस्मत ही चमक जाए, ज्यों चमके सितारा है ।।३
सेवा गुरु चरनन की, युक्ति भव तरनन की ।
महिमा गुरु वरनन की, दाता गुरु करमन की ।
गुरु ज्ञान संजीवन की बहती एक धारा है ।। ४/गुरुदेव मेरे तुमको 
Gurudev mere tumko /guru
12/चलो गुरु की नगरिया, दुनियाँ से नाता तोड़ के ।। 
इस दुनियाँ में सबको भाई, पडे़गा एक दिन जाना ।
यहाँ कोई ना रहेगा, हंस अकेला उड़ जायेगा ।। १
कौडी-कौडी माया जोडी, जौड धरे बरतन में ।
तेरे काम ना आयेगी, छोड़ अकेला चला जायेगा ।। २
महल अटारी बाग बगीचे, पड़े रहेंगे खाली ।
यहाँ कोई न रहेगा, मात-पिता से नाता जोड़ के ।।३
पेट पकड़ तेरी माता रोवे, भुज पकड़ तेरा भाई।
पैर पकड़ तेरी तिरिया रोवे, मुझे छोड़ कहाँ जाई ।
सैया मत जा अकेला, धोली चदरिया ओढ़ के ।।४
/चलो गुरु की नगरिया 
Chalo gurru ki nagariya /guru
13/जहाँ सतगुरु आते हैं, सारी खुशियाँ आती है । 
ले ले के चरण धूली, सब मुख मुसकाते हैं ।।
सतगुरु के आने से, शुभ मंगल होता है । 
गंगाकी तरह पावन, मन निर्मल होता है । 
वो अपने भक्तों को, सब कुछ दे जाते हैं ।। १ 
मेरा सुना आँगन, खुशियों से महक उठा । 
सतगुरु ने दर्श दिया, मन पक्षी जैसे चहक उठा । 
दर्शन पाकर तेरा, फूले न समाते हैं ।। २/जहाँ सतगुरु आते हैं 
Jahan sataguru aane hain /guru
14/जान गये, जान गये, हम तो जान गये । 
नदियाँ की धार को, अपने तारणहार को ।
जान गये हम पहचान गये ।।१ 
भटक रहे थे यूं ही, अंधियारे सघन बन में ।
गुरु की नजर जो पड़ी, छाया उजाला मन में ।
मान गये हम तो मान गये ।। २
जन्म जन्म के फन्द में, अपना निजधाम भूल गये ।
गुरु की कृपा जो मिली, बन्धन सारे खुल गये ।
ठान गये हम तो ठान गये ।।३ /जान गये जान गये 
Jan gaye jan gaye/guru
15/जुबां पर जब मेरे गुरुवर, तुम्हारा नाम आता है । 
सुना है तेरी करुणा का, सहारा काम आता है ।। १ 
दया करते हो तुम भगवन, हमेशा अपने भक्तों पर । 
इशारे तेरे से सुख का, सदा पैगाम आता है ।। २ 
घटायें झूमती हैं, रहमतों की तेरे बंदों पर । 
तेरे दर का सवाली तो, कभी खाली न जाता है ।। ३ 
किसी से क्या कहूं तेरी, दया के रंग क्या क्या हैं । 
वही पाता है श्रद्धा से, जो तेरे द्वार आता है ।। ४/जुबां पर जब मेरे 
juban par jab mere /guru
16/तुम्हारे प्यार ने गुरुवर, हमको तुमसे जोड़ा है । 
करें गुणगान हम जितना, उतना ही थोड़ा है ।।
चराचर विश्व के मालिक, तुम्हीं सबके सहारे हो ।
लेकर शरण में अपनी, भव बंधन को तोड़ा है ।।१
धार विश्वास को मन में, शरण में जो पड़े तेरी ।
दिखाया रूप अपना है, चंचल चित को मोड़ा है  ।।२
नहीं है शान का तेरी, जगत में दूसरा कोई ।
कराया बोध है अपना, मेरे संशय को तोड़ा है ।।३
जलाकर ज्ञान का दीपक, मिटाया घोर अंधियारा ।
कराया दर्श आत्मा का, मन विषयों से मोड़ा है ।।४
नहीं वाणी में ताकत है, करें गुणगान हम कैसे ।
शरण में आ पड़े तेरी, झूठे जगको छोड़ा है ।। ५/तुम्हारे प्यार ने गुरुवर 
Tumhare pyar ne guruwar /guru
17/तेरा मैं तेरा गुरुजी, अब तो तू मेरा होजा । 
हृदय में हरदम रहते, अंखियों में नेड़े होजा ।। 
हृदय में तेरा मन्दिर, आ जा तू इसके अन्दर ।
सेवक मैं तेरा गुरुजी, ठाकुर तू मेरा होजा ।।१ 
काना विच मुंदरा पांवा, जोगी का भेष बनावाँ ।
जोगी मैं तेरा गुरुजी, जोगेश्वर मेरा होजा ।। २
गल बिच मैं कफनी पांवा, घर घर में अलख जगावाँ ।
भिखारी तेरा गुरुजी, दाता तू मेरा होजा ।। ३
मीरा है तेरी दासी, करते क्यों मुझे निराशी ।
अब ना कराओ हाँसी, स्वामी तू मेरा होजा ।। ४/तेरा मैं तेरा गुरुजी 
tera main tera guruji /guru
18/तेरी कृपा ही मेरा सबकुछ हो मेरे सतगुरु प्यारे । 
मुझे नहीं चाहिए अब कुछ हो, मेरे सतगुरु प्यारे ।। 
गैरों की बात करें क्या, मुझे अपनों ने ठुकराया ।
बन गया नाथ तू मेरा, तूने पल-पल साथ निभाया ।।
तेरा साथ ही मेरा सबकुछ हो ।।१
मैं किसी से कुछ क्या मांगू, बिन मांगे ही सब पाऊँ ।
जब द्वार मिला गुरुजी तेरा, मैं किसी के द्वार क्यों जाऊँ । 
तेरा द्वार ही मेरा सबकुछ ।। २
कितनी कृपा की तूने, ये मुख से कहा न जाये ।
जब-जब मैं याद करूं तो, मेरा हृदय भर-भर आये ।
ये दास कहे अब क्या कुछ हो ।।३/तेरी कृपा ही मेरा 
Teri kripa hi mera /guru
19/दरबार में मेरे सतगुरु के, दुख दर्द मिटाये जाते हैं । 
दुनियां के सताए लोग यहां, सीने से लगाए जाते हैं ।। 
ये महफिल है दीवानों की, हर भक्त यहां मतवाला है ।
भर-भर के प्याले अमृत के, यहां सबको पिलाए जाते है ।। १
मत घबराओ ऐ जगवालों, इस दर पे शीश झुकाने मंे ।
ऐ नादानों इस द्वार पर, सर भेंट चढाये जाते हैं ।।२
जिन भक्तों पर ऐ जगवालों, हो जाए कृपा गर सतगुरु की ।
उन्हीं को सन्देशा आता है ,दरबार बुलाए जाते हैं ।।३
सर रख के तली पर आ जाओ, हसरत है जिन्हें कुछ पाने की ।
प्यारे सतगुरु को पाने के लिए , कुछ कष्ट उठाये लाते हैं ।।४/दरबार में मेरे सतगुरु के 
karbar men mere sataguru ke/guru
20/द्वार तुम्हारे आके गुरुवर, दर्श तुम्हारा पाके । 
मालामाल हो गये, हम निहाल हो गये ।। 
बहुत दिनों से इच्छा थी ये, दर्शन तेरा पायें । 
सामने तेरे बैठके गुरुवर, गीत तुम्हारा गायें । 
आज घडी वह आई है, प्रीत तेरी रंग लायी है । 
तुम दयाल हो गये, मालामाल हो गये ।। १ 
जो भी तेरे द्वार पे आया, तूने है अपनाया । 
दीन दुःखी पापी अधर्मों को, तूने गले लगाया । 
आज हुयी है कृपा हम पर, अमृत रस बरसाया सब पर । 
दीदार हो गये, मालामाल हो गये ।। २ 
ऐसी करो कृपा हे सतगुरु, नाम तुम्हारा ध्याऊँ । 
जग जंजाल से नेह हटाकर, तुम संग प्रीत लगाऊँ । 
नाम तुम्हारा गाऊं, मनचाहा फल पाऊं । 
भाग खुल गये, मालामाल हो गये ।। ३
/द्वार तुम्हारे आके 
Dwar tumhare aake /guru
21/धन्य धन्य भाग्य हमारे, आज शुकदेव पधारे । 
गुरु वशिष्ठ के राज दुलारे, व्यास जी के प्राणन प्यारे ।।१
श्यामल वेश विचत्र संवारे, अघ जग पावन हारे ।। २
ज्ञान वैराग भक्ति वपु धारे, भू-सुर कुल उजियारे ।। ३ 
/धन्य धन्य भाग्य हमारे 
Dhanya dhanya bhagya hamare /guru
22/पिला दो सतगुरु जी, श्याम नाम की मस्ती । 
सदा सदा मैं मांगू सतगुरु, श्री चरणों की भक्ति ।। 
जन्म जन्मका प्यासा सतगुरु, एक ही बूंद पिला दो ।
बार बार गर नहीं पिलाना, एक ही बार पिला दो । 
प्रेम रंग में ऐसा रंग दो, मिट जाए मेरी हस्ती ।। १ 
रंग की मुझको शर्त न कोई, कैसा रंग पिला दो । 
पीने को दिल तरस रहा है, जी भर मुझे पिला दो । 
पीने वाले दाम न पूछे, महंगी हो या सस्ती ।। २ 
प्रेम बूंद को पीने वाले, दुनियासे नहीं डरते । 
लोक लाज सब छोड के सतगुरु, तुमसे प्रीत हैं करते । 
तेरे भरोसे छोड दी सतगुरु, अपनी जीवन कश्ती ।। ३ 
/पिला दो सतगुरु जी 
Pila do sathguru ji /guru
23/मन तुम खोजो सतगुरु सांचा ।। 
ऊँची दुकान देखी मत भूलो, सो पकवान है कांचा ।। 
ना हक कान पुकार नर तुम, वेद भेद नहिं जांचा । 
मिलय न वेद भेद सन्तन बिन, वृथा नांच क्यों नाचा ।। १ 
दत्तात्रय चौबीस गुरु किन्हें, जब लग मन नहीं रांचा । 
करि सत्संग भेद जब पायो, खुले भरम के ढांचा ।। २ 
मानुस जनम पाए नर तुम, परे मोह के बहु फाँसा । 
'बालक सखी' भजन तब करि हूँ, काल तेरे सिर नाचा ।। ३/मन तुम खोजो सतगुरु 
man tum khojo satguru /guru
24/मेरे सतगुरु तेरी नौकरी, सबसे बढिया है सबसे खरी । 
तेरे दरबार की हाजिरी, सबसे बढिया है सबसे खरी ।। 
खुशनसीबका जब गुल खिला, तब कही जाके ए दर मिला । 
हो गई अब तो रहमत तेरी, सबसे बढिया है सबसे खरी ।। १
मैं नहीं था किसी काम का, है सहारा तेरे नामका । 
बन गई अब तो बिगडी मेरी, सबसे बढिया है सबसे खरी ।। २ 
जब से तेरा गुलाम हो गया, तब से मेरा भी नाम हो गया ।। ३ 
मेरी तनख्वा भी कुछ कम नहीं, कुछ मिले ना मिले गम नहीं । 
ऐसी होगी कहाँ दूसरी, सबसे बढिया है सबसे खरी ।। ४ 
एक वियोगी दिवानी हूँ मैं, आस चरणोंकी चाहती हूँ मैं । 
आखिरी इन्तजार है मेरी, सबसे बढिया है सबसे खरी ।। ५ /मेरे सतगुरु तेरी नौकरी 
Mere satguru teri naukari /guru
25/मेरे सतगुरु मुझको देना सहारा, कहीं छूट जाए न दामन तुम्हारा ।। 
तेरे बिन मन में समाए ना कोई, लगन का दीपक जलाए न कोई ।। 
तुम्हीं मेरी किश्ती, तुम्हीं तो किनारा ।। १
तेरे रास्ते से हटाती है दुनियाँ, इसारों से मुझको बुलाती है दुनियाँ ।
ना देखूँ मैं जग का झूठा इशारा ।। २
तेरे नामका गान गाता रहूं मैं, सुबह और शाम तुझको ध्याता रहूँ मैं ।
तेरे नाम मुझको है, प्राणों से प्यारा ।। ३
बडी भूल की जो मैं दुनियाँ में आया, व्याज गंवाया और मूल गंवाया ।
ना भेजना मुझको जग में दोबारा ।। ४
/मेरे सतगुरु मुझको 
Mere satguru mujhko /guru
26/मोहे लागी लगन गुरु चरनन की, गुरु चरनन की, गुरु चरनन की ।।
चरण बिना मोहे कछु नहीं भावे, जगमाया सब सपनन की ।।१ 
भव सागर सब सूख गये हैं, फिकर नहीं मोहे तरनन की ।।२
मीरा के प्रभु गिरधर नागर, आश ग्रही गुरु शरणन की ।। ३ 
/मोहे लागी लगन गुरु 
mohe lagi lagan guru /guru
27/ले गुरु का नाम बन्दे, यहि तो सहारा है । 
 ये जग का पालनहारा है, ले गुरु का नाम बन्दे ।।
तारीफ क्या करूं इन दीन दाता की, दयालु नाम है ,
 दीन दुखियों के दामन को भर देना, गुरु का काम है ,
लाखों की तकदिर को, इस मालिक ने संवारा है ।। १
क्या भरोसा है इस जिन्दगानी का, सतगुरु को याद कर ।
क्या सोचता है रे अनमोल जीवन को, ना तू बर्बाद कर ।
सौप दे पतवार फिर तो, पास में किनारा है ।। २
कौन है तेरा क्या साथ जाएगा, सतगुरुका ध्यान कर ।
व्यर्थ है काया धोखे की है माया, गुरु से पहचान कर ।
बनवारी नादान, सतगुरु को बिसारा है ।। ३/ले गुरु का नाम बन्दे 
Le guru ka nam bande /guru
28/सतगुरु की वाणी पढने से, जीवन हमारा सुन्दर होगा । 
भवसागर तर जायेंगे, और बेडा पार होगा ।। 
माया के दुःखों से, छुटकारा हम पायेंगे । 
धनी कृपाके हम, पात्र बन जायेंगे ।
धनी चरणों का, साहारा होगा ।। १
रहेंगे संसारमें, सुरता हो निजधाम में । 
अपने पर आतम से, मिलेंगे निजधाम में । 
मूलमिलावा हमे, प्यारा होगा ।। २
यह माया तो आनी जानी, झूठा यह संसार है । 
श्री राज नामकी वाणी पढ लो, इससे बेडा पार है । 
सुन्दर समय वह, सुहाना होगा ।। ३/सतगुरु की वाणी पढने 
Satguru ki vani padhne /guru
29/सतगुरु चेहरे से पर्दा हटा दो, रूहों से पर्दा अच्छा नहीं है । 
मेरी अंखियाँ अभी तक है प्यासी, मैंने जी भरके देखा नहीं है ।। 
मैंने माना गुन्हेंगार हूँ मैं, पाक दामन से मुझको बचाले ।
कौन सा गुल है ऐसा चमन में, जिसके पहलु में काटें नहीं है ।।१
तेरे द्वारे पे अब आ चुकी हूँ, तेरी चौखट पे सर रख दिया है ।
मेरी बइयाँ पकड़ उठा लो, या फिर कह दो कि अंगना नहीं है ।। २
यूं तो रूहें लाखों अरस में, दावा लेकिन फलक का यही है । 
हम से रूहें बहुत कम मिलेगी, तेरी चौखट पर मर जाने वाले ।। ३/सतगुरु चेहरे से पर्दा 
Satguru chehre se parda /guru
30/सतगुरु तुम्हारे प्यार ने, जीना सिखा दिया । 
हमको तुम्हारे प्यार ने, सखियाँ बनादिया ।। १ 
भूला हुआ था रास्ता, भटका हुआ था मैं । 
किसमत ने मुझको आपके, काबिल बनादिया ।। २ 
रहते हैं जलवे आपके, नजरों में हर घडी । 
मस्ती का जाम आपने, ऐसा पिला दिया ।। ३ 
जिस दिन से मुझको आपने, अपना बनालिया । 
उस दिनसे अंग अंग में, आनन्द समा गया ।। ४ 
जिसने किसी को आज तक, सेजदा नहीं किया । 
वो सर भी मैंने आपके, दर पर झुका दिया ।। ५ /सतगुरु तुम्हारे प्यार ने 
Satguru tumhare pyar ne /guru
31/सतगुरु तेरे वचनों में, बडा प्यार समाया है ।
मेरी सूनी बगिया में, अमृत बरसाया है ।। 
कर्मों की खेतीमें, जाने क्या क्या बोया है । 
अज्ञान की निद्रामें, जी भर कर सोया है । 
सूरज बनकर तूने, निद्रा से जगाया है ।। १ 
मेरी सूनी बगिया में, कोई फूल खिला न सका । 
तेरे जैसे सतगुरुजी, कोई माली आ न सका ।
इस उजडे गुलशन को, गुलजार बनाया है ।। २ 
दुनिया में तेरे जैसा, कोई भी मीत नहीं । 
तेरे जैसा प्यार नहीं, तेरी जैसी प्रीत नहीं । 
दर्शन पाकर तेरा, मेरा मन हर्षाया है ।। ३ 
भक्तों के तारने को, तूने अवतार लिया । 
जो आया शरण तेरी, बेडा उसका पार किया । 
चौरासी से बचकर, फिर तुझमें समाया है ।। ४ 
/सतगुरु तेरे वचनों में 
Satguru tere vachanon men /guru
32/सागर से भी गहरा बंदे, गुरुदेव का प्यार है । 
देख लगाकर गोता एक बार, तेरा बेड़ा पार है ।।
भव सागर में एक दिन, तेरी जीवन नैया डूबेगी ।
खेते-खेते एक दिन तो, पतवार भी तेरी टूटेगी ।
जायेगा उस पार तू कैसे, हर तरफ अन्धकार है ।। १ 
सौंपदे नैया गुरुदेव को, वही पार लगा देंगे ।
पैर पकड़ ले जाकर के तू, सोये भाग जगा देंगे ।
पापी से भी पापी को भी, करते ना इन्कार है ।। २
सन्त समागम हरि कथा, गुरु कृपा से पाओगे ।
खुद आवेंगे श्याम सुन्दर, गुरु शरण में जाओगे । 
बनवारी गुरु कृपा बिना, ये जिन्दगी बेकार है ।। ३
/सागर से भी गहरा 
Sagar se bhi gahara /guru
33/सुमिरो प्रथम उन्हीं सतगुरुको, जिन्होंने तारतम ज्ञान दिया ।। 
भरम जाल से छुडा करके, निर्भय पथको दिखाई दिया ।। १ 
पशुरूप से उन्होंने हमको, धामकी सखियाँ बनाय दिया ।। २ 
सिर पर हाथ धरके हमारे, बारम्बार वरदान दिया ।। ३ 
पाप पुण्य जो कुछ थे हमारे, जुदा जुदा करके छान दिया ।। ४ 
कुटुम्ब परिवार डुबाने वाले, सतगुरु फगत बचाने वाले ।। ५ 
जिन्होंने सतगुरु पहचाना नहीं, धाम में उनका ठिकाना नहीं ।। ६/सुमिरो प्रथम उन्हीं 
Suriro pratham unhin/guru
34/हम करते हैं अभिनन्दन, गुरुदेव पधारे हैं । 
मेरा झुम उठा तन मन, गुरुदेव पधारे हैं ।। 
आप आये बहार आई, सब खुशियां मनाते हैं । 
कर दर्शन गुरुवरका, फूले ना समाते हैं ।
गुरु अमृत वर्षा करो, हम प्यासे सारे हैं ।। १
ये हमारा मुकद्दर है, गुरु आप हमें जो मिले । 
मेरे दिल की बगिया में, भक्ति के फूल खिले । 
ये महके सदा बगिया, आशीर्वाद तुम्हारा है ।। २
श्री कृष्णके प्रेमी हैं, कष्टों से नहीं डरते । 
गर दुःख भी आ जाये, तेरी कृपा से सब टलते । 
हम दया पात्र बनकर, चरणों के सहारे हैं ।। ३
/हम करते हैं अभिनन्दन 
Ham karte hain abhinandan /guru
35/हमारे हैं श्री गुरुदेव, हमें किस बात की चिंता । 
चरण में रख दिया जब माथ, हमें किस बात की चिंता ।
ना खाने की ना पीने की, न मरने की ना जीने की ।
मेरे स्वामी को रहती है, मेरी हर बात की चिंता ।। १
किया करते हो तुम दिन रात क्यों, बिन बात की चिंता ।
रहे हर स्वांस में भगवान, तेरे एक नाम की चिंता ।। २
हुई  इस दास पर कृपा, बनाया दास प्रभु अपना ।
उन्हीं के हाथ में जब हाथ, हमें किस बात की चिंता ।। ३
/हमारे हैं श्री गुरुदेव 
Hamare hain shre gurudev /guru
36/हमे ना भुलाना गुरुवर कहूँ हाथ जोड़ के, याद रूलावै तेरी आओ गुरु दौड़ के ।। 
दर्शन दे दो अब तो, हमें न रुलाओ, जहाँ तेरा प्यार बरसे, वहाँ ले के जाओ ।
आँख मेरी भर आई, न दिल तोड़के, याद रूलावै तेरी आओ गुरु दौड़ के ।।१
दर-दर की ठोकरें, अब ना खिलाओ, दिल से चाहूँ मैं तुमको, हमें न भुलाओ ।
कहीं न ठिकाना गुरुजी, चरणों को छोड़ के, याद रूलावै तेरी आओ गुरु दौड़ के ।। २
आवाज देके गुरुवर, हमें तुम बुला लो, प्यार भरे आंचल में, हमको छुपा लो ।
प्यारे दुलारे बालक हम, तेरे गोद के, याद रूलावै तेरी आओ गुरु दौड़ के ।।३
अब भी न आए तो, ये प्राण छूट जाएंगे, दीनों के नाथ गुरुवर, कैसे कहलाएंगे ।
प्यार भरा ये रिश्ता, दुनियां न तोड़ दे, याद रूलावै तेरी आओ गुरु दौड़ के ।। ४
/हमे न भुलाना गुरुवर 
Hame na bhulana guruwar /guru
37/हमें गुरुदेव तेरा सहारा न मिलता । 
ये जीवन हमारा दूबारा न खिलता ।। 
सांसों की सरगम मध्यम हुई थी, जीने की आशा भी धूमिल हुई थी । 
सच्चा जो तेरा सहारा न मिलता, ये जीवन हमारा दुबारा न खिलता ।। १ 
रिश्तों की चौखट पे ठोकर है खाई, अपने पराए की समझ ही न आई ।
सच्चा जो तेरा यह रिश्ता न मिलता, ये जीवन हमारा दुबारा न खिलता ।। २ 
किस्मत की मोजों ने किश्ती डुबोई, जब सब लुटा तो तेरी याद आई ।
अगर मेरी किश्ती को किनारा न मिलता, ये जीवन हमारा दूबारा न खिलता ।। ३/हमें गुरुदेव तेरा 
Hamen gurudev tera /guru
38/हे ! मेरे सतगुरु प्रणाम बार बार ।
होठों पे हो आपका ही नाम बार-बार ।।
चरणों में हो मन सदा, चरण हो मंजिल सदा ।
हे दयालु भक्ति का, दे दान बार-बार ।। १
मेरे दाता आपने, क्या नहीं दिया हमें । 
धन्य धन्य हैं आपको, प्रणाम बार-बार ।। २
सोये जग को फिर जगाने, आए हो गुरुवर मेरे ।
भक्ति में मन को लगाना, नाथ बार-बार ।। ३
बार-बार हो जनम, हर जन्म में आप हम ।
यूं ही हमको आप देना, ज्ञान बार-बार ।। ४
चाँदनी का दीप लेकर, थाल फूलों से सजा ।
आरती हम आपकी करें, आज बार-बार ।। ५
/हे मेरे सतगुरु 
he mere satguru /guru
39/हे दयामय हमको, आपका सदा आधार हो । 
आपके भक्तों से, भरपूर यह परिवार हो ।। १
छोड देवें काम को, और क्रोध को मद मोह को । 
शुद्ध और निर्मल हमारा, सर्वदा आचार हो ।। २ 
प्रेम से मिलकर के सारे, गीत गायें आपके । 
दिल में बहता आपका, ही प्रेम पारावार हो ।। ३ 
पास अपने हो न धन तो, उसकी कुछ परवाह नहीं । 
आपकी भक्ति से ही, धनवान यह परिवार हो ।। ४
हे मेरे गुरुदेव हम सब, जह तुम्हारा गा रहे । 
रात दिन घरमें हमारे, आपकी जयकार हो ।। ५/हे दयामय हमको 
he dayamay hamko /guru
40/हे मेरे गुरुदेव करुणासिंधु करुणा कीजिये ।
हूँ अधम आधीन अशरण, अब शरण में लीजिये ।। 
खा रहा गोते हूँ मैं, भव सिंधु के मझधार में ।
आसरा है दूसरा कोई, ना अब संसार में ।। १
पाप बोझों से लदी है, नैया भँवर में जा रही ।
